postal,address,block,street_name,max_floor_lvl,year_completed,building_age,town,total_dwelling_units,psm_2018,psm_2019,psm_2020,psm_2021,psm_2022,psm_2023,psm_2024,psm_2025,psm_2026,txn_5y,psm_growth_5y,nearest_station,stn_distance_m
540101,101 RIVERVALE WALK,101,RIVERVALE WALK,17,1998,28,SENGKANG,131,,3676.0,3663.0,3542.0,4292.0,4879.0,5125.0,4937.0,5521.0,13.0,28.599999999999998,RANGGUNG,236.0
550101,101 SERANGOON NTH AVE 1,101,SERANGOON NTH AVE 1,13,1984,42,SERANGOON,144,3791.0,3824.0,3884.0,4176.0,4731.0,4624.0,5440.0,6154.0,5604.0,12.0,18.5,KOVAN,2038.0
520101,101 SIMEI ST 1,101,SIMEI ST 1,11,1988,38,TAMPINES,140,4471.5,4519.0,4492.0,4135.0,5264.5,5234.0,5312.0,5769.0,6302.0,13.0,19.7,SIMEI,340.0
521101,101 TAMPINES ST 11,101,TAMPINES ST 11,11,1981,45,TAMPINES,120,4187.0,4107.0,4000.0,4126.0,4827.0,5505.0,5411.5,5773.5,,18.0,,TAMPINES,656.0
680101,101 TECK WHYE LANE,101,TECK WHYE LANE,13,1988,38,CHOA CHU KANG,66,,,3831.0,3866.0,5000.0,4979.5,5000.0,,,4.0,,TECK WHYE,150.0
322101,101 TOWNER RD,101,TOWNER RD,4,1982,44,KALLANG/WHAMPOA,44,5412.0,5650.0,5743.0,,,6389.0,,,6821.0,2.0,,BOON KENG,66.0
323101,101 WHAMPOA DR,101,WHAMPOA DR,25,1973,53,KALLANG/WHAMPOA,96,4593.0,4286.0,,3620.5,4945.0,4945.0,5592.0,5412.5,5945.0,15.0,20.200000000000003,BOON KENG,883.0
730101,101 WOODLANDS ST 13,101,WOODLANDS ST 13,10,1984,42,WOODLANDS,146,3882.5,3604.0,,4104.0,4896.0,5194.0,5403.0,5682.0,5956.5,19.0,21.7,WOODLANDS INTERCHANGE,482.0
760101,101 YISHUN AVE 5,101,YISHUN AVE 5,4,1977,49,YISHUN,107,3695.0,3397.0,3298.0,3529.0,4412.0,4612.5,5044.0,5809.0,,13.0,,YISHUN,820.0
341101,101A BIDADARI PK DR,101A,BIDADARI PK DR,16,2020,6,TOA PAYOH,295,,,,,,,,,12141.5,22.0,,WOODLEIGH,263.0
751101,101A CANBERRA ST,101A,CANBERRA ST,15,2019,7,SEMBAWANG,164,,,,,,,,6758.5,6674.0,48.0,,CANBERRA,952.0
310101,101A LOR 2 TOA PAYOH,101A,LOR 2 TOA PAYOH,17,1992,34,TOA PAYOH,64,6451.5,,,5938.5,6690.0,6847.0,8138.0,,,6.0,,BRADDELL,94.0
821101,101A PUNGGOL FIELD,101A,PUNGGOL FIELD,16,2001,25,PUNGGOL,82,,3813.5,3896.5,4027.0,4436.0,5091.0,5045.5,6015.0,6333.0,16.0,42.8,COVE,157.0
752101,101B CANBERRA ST,101B,CANBERRA ST,16,2019,7,SEMBAWANG,240,,,,,,,,7016.0,7754.0,44.0,,CANBERRA,956.0
311101,101B LOR 2 TOA PAYOH,101B,LOR 2 TOA PAYOH,13,1992,34,TOA PAYOH,48,,,,6257.0,6759.0,5782.0,,,8681.0,3.0,28.4,BRADDELL,130.0
822101,101B PUNGGOL FIELD,101B,PUNGGOL FIELD,17,2001,25,PUNGGOL,92,3852.0,4128.0,3716.0,3899.0,4459.0,5045.0,5481.0,5864.0,5963.0,16.0,33.7,COVE,178.0
