latitude,longitude,postal,address,block,street_name,max_floor_lvl,year_completed,town,total_dwelling_units,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,smallunit_sold
1.38091958234255,103.771819242148,670244,244 BT PANJANG RING RD,244,BT PANJANG RING RD,12,1987,BUKIT PANJANG,99,0,59,40,0,0,0
1.3933790323047,103.898887106585,540244,244 COMPASSVALE RD,244,COMPASSVALE RD,15,1998,SENGKANG,84,0,0,84,0,0,0
1.35807253232842,103.891946844004,530244,244 HOUGANG ST 22,244,HOUGANG ST 22,12,1983,HOUGANG,160,91,69,0,0,0,0
1.34263187196449,103.742133807093,600244,244 JURONG EAST ST 24,244,JURONG EAST ST 24,13,1982,JURONG EAST,236,171,64,0,0,0,0
1.33069367982742,103.85635902134,310244,244 KIM KEAT LINK,244,KIM KEAT LINK,9,1988,TOA PAYOH,56,0,28,28,0,0,0
1.37145484462509,103.963382896053,510244,244 PASIR RIS ST 21,244,PASIR RIS ST 21,13,1992,PASIR RIS,47,0,0,0,47,0,0
1.35249536436696,103.868749654582,550244,244 SERANGOON AVE 2,244,SERANGOON AVE 2,4,1985,SERANGOON,16,8,8,0,0,0,0
1.34381139061039,103.954503239744,520244,244 SIMEI ST 5,244,SIMEI ST 5,11,1995,TAMPINES,98,0,40,58,0,0,0
1.35380840642139,103.947114964145,521244,244 TAMPINES ST 21,244,TAMPINES ST 21,12,1983,TAMPINES,110,66,44,0,0,0,0
1.43374226274799,103.841257885463,760244,244 YISHUN RING RD,244,YISHUN RING RD,12,1984,YISHUN,88,0,88,0,0,0,0
1.36085903677645,103.729122003463,691244,244A TENGAH CTRL,244A,TENGAH CTRL,15,2025,TENGAH,98,0,42,56,0,0,0
1.36093616907492,103.728637936459,692244,244B TENGAH CTRL,244B,TENGAH CTRL,15,2025,TENGAH,97,0,55,0,0,0,42
1.36033727387085,103.843963448891,570245,245 BISHAN ST 22,245,BISHAN ST 22,15,1990,BISHAN,76,0,0,0,76,0,0
1.3805322477834,103.772141437385,670245,245 BT PANJANG RING RD,245,BT PANJANG RING RD,4,1987,BUKIT PANJANG,14,0,9,5,0,0,0
1.3496481268301,103.757332776738,650245,245 BT BATOK EAST AVE 5,245,BT BATOK EAST AVE 5,4,1984,BUKIT BATOK,16,8,8,0,0,0,0
1.39296180675514,103.899291409001,540245,245 COMPASSVALE RD,245,COMPASSVALE RD,15,1998,SENGKANG,84,0,0,84,0,0,0
1.35841118678486,103.891722006562,530245,245 HOUGANG ST 22,245,HOUGANG ST 22,15,1983,HOUGANG,84,0,12,72,0,0,0
1.3416807983165,103.741783307334,600245,245 JURONG EAST ST 24,245,JURONG EAST ST 24,10,1982,JURONG EAST,89,52,36,1,0,0,0
